ID,X,Y,cost,capacity,Gitter_ID_100m,coord_x_grid,coord_y_grid,Cluster Nr.
0_0,1412.7959107436486,382.3598634567391,1348.36,2,100mN300E1400,1400,300,2
0_1,1412.7959107436486,382.3598634567391,1328.41,2,100mN300E1400,1400,300,2
1_0,-1102.4867535081607,-1883.35570695138,1093.68,4,100mN-1900E-1200,-1200,-1900,0
2_0,-218.44126353875825,797.1743412619362,1092.02,1,100mN700E-300,-300,700,2
3_0,129.2389832863489,1130.4252167210143,1414.02,2,100mN1100E100,100,1100,2
3_1,129.2389832863489,1130.4252167210143,1382.9,2,100mN1100E100,100,1100,2
4_0,744.4593826959479,1892.096958024611,1313.17,2,100mN1800E700,700,1800,2
4_1,744.4593826959479,1892.096958024611,1249.7,2,100mN1800E700,700,1800,2
4_2,744.4593826959479,1892.096958024611,1094.49,1,100mN1800E700,700,1800,2
4_3,744.4593826959479,1892.096958024611,1200.69,1,100mN1800E700,700,1800,2
4_4,744.4593826959479,1892.096958024611,1358.97,1,100mN1800E700,700,1800,2
4_6,744.4593826959479,1892.096958024611,1161.37,1,100mN1800E700,700,1800,2
5_0,-1120.3564741328596,-1238.2786514818251,922.95,2,100mN-1300E-1200,-1200,-1300,0
6_0,-812.2653683269816,-2980.660348484869,795.73,1,100mN-3000E-900,-900,-3000,0
7_0,528.772254837164,288.41508949591696,1314.55,1,100mN200E500,500,200,2
8_0,-407.4247088191676,-2261.2031925057463,691.88,1,100mN-2300E-500,-500,-2300,0
8_1,-407.4247088191676,-2261.2031925057463,1105.3,3,100mN-2300E-500,-500,-2300,0
8_2,-407.4247088191676,-2261.2031925057463,927.21,2,100mN-2300E-500,-500,-2300,0
8_3,-407.4247088191676,-2261.2031925057463,926.08,2,100mN-2300E-500,-500,-2300,0
8_4,-407.4247088191676,-2261.2031925057463,845.34,1,100mN-2300E-500,-500,-2300,0
9_0,-516.9521414950852,-1890.347436489333,982.65,3,100mN-1900E-600,-600,-1900,0
