ID,X,Y,cost,capacity,Gitter_ID_100m,coord_x_grid,coord_y_grid,Cluster Nr.
0_0,1678.0943453093485,1030.5399692666626,941.23,2,100mN1000E1600,1600,1000,2
0_1,1678.0943453093485,1030.5399692666626,1687.56,4,100mN1000E1600,1600,1000,2
0_2,1678.0943453093485,1030.5399692666626,1685.07,3,100mN1000E1600,1600,1000,2
0_3,1678.0943453093485,1030.5399692666626,1664.47,3,100mN1000E1600,1600,1000,2
0_4,1678.0943453093485,1030.5399692666626,1490.49,3,100mN1000E1600,1600,1000,2
1_0,796.8926640406355,-25.997172558393714,1005.05,2,100mN-100E700,700,-100,0
2_0,932.5726371335124,899.5530083459229,1368.65,2,100mN800E900,900,800,2
3_0,723.3052920745986,1019.605291308501,1187.31,2,100mN1000E700,700,1000,2
4_0,790.0441289968182,1273.4574322434164,1309.87,2,100mN1200E700,700,1200,2
4_1,790.0441289968182,1273.4574322434164,1257.64,2,100mN1200E700,700,1200,2
5_0,462.4389305280542,-442.7905226359971,1103.15,3,100mN-500E400,400,-500,0
5_1,462.4389305280542,-442.7905226359971,878.31,2,100mN-500E400,400,-500,0
5_2,462.4389305280542,-442.7905226359971,1064.87,3,100mN-500E400,400,-500,0
5_3,462.4389305280542,-442.7905226359971,851.66,2,100mN-500E400,400,-500,0
5_4,462.4389305280542,-442.7905226359971,905.55,2,100mN-500E400,400,-500,0
6_0,277.8677161113326,-686.7895294672114,973.22,2,100mN-700E200,200,-700,0
7_0,988.264924352966,1042.4602432595364,1254.18,2,100mN1000E900,900,1000,2
7_1,988.264924352966,1042.4602432595364,1329.48,2,100mN1000E900,900,1000,2
8_0,797.9480341233067,-310.2884109531346,712.4,1,100mN-400E700,700,-400,0
8_1,797.9480341233067,-310.2884109531346,938.29,2,100mN-400E700,700,-400,0
9_0,596.2255582044954,-217.0947696491588,975.73,2,100mN-300E500,500,-300,0
9_1,596.2255582044954,-217.0947696491588,821.07,2,100mN-300E500,500,-300,0
10_0,1260.58127937653,-0.5769261432919848,1320.25,2,100mN-100E1200,1200,-100,2
10_1,1260.58127937653,-0.5769261432919848,1238.23,2,100mN-100E1200,1200,-100,2
10_2,1260.58127937653,-0.5769261432919848,1408.93,3,100mN-100E1200,1200,-100,2
10_3,1260.58127937653,-0.5769261432919848,1327.87,2,100mN-100E1200,1200,-100,2
11_1,2299.227403354004,1526.3989372012188,709.42,1,100mN1500E2200,2200,1500,3
11_2,2299.227403354004,1526.3989372012188,694.59,1,100mN1500E2200,2200,1500,3
11_3,2299.227403354004,1526.3989372012188,875.59,2,100mN1500E2200,2200,1500,3
11_5,2299.227403354004,1526.3989372012188,898.02,2,100mN1500E2200,2200,1500,3
11_6,2299.227403354004,1526.3989372012188,693.17,1,100mN1500E2200,2200,1500,3
11_7,2299.227403354004,1526.3989372012188,612.8,1,100mN1500E2200,2200,1500,3
11_8,2299.227403354004,1526.3989372012188,727.24,1,100mN1500E2200,2200,1500,3
11_9,2299.227403354004,1526.3989372012188,879.96,2,100mN1500E2200,2200,1500,3
12_0,586.8949247303576,-29.71495583684191,1038.41,3,100mN-100E500,500,-100,0
12_1,586.8949247303576,-29.71495583684191,832.01,2,100mN-100E500,500,-100,0
12_2,586.8949247303576,-29.71495583684191,721.52,1,100mN-100E500,500,-100,0
13_0,1046.5627136895214,1213.4290609809043,1587.71,3,100mN1200E1000,1000,1200,2
13_1,1046.5627136895214,1213.4290609809043,1202.74,2,100mN1200E1000,1000,1200,2
