ID,X,Y,cost,capacity,Gitter_ID_100m,coord_x_grid,coord_y_grid,Cluster Nr.
0_0,1898.6651548311715,1067.3403361543903,1374.98,2,100mN1000E1800,1800,1000,2
0_1,1898.6651548311715,1067.3403361543903,1624.48,3,100mN1000E1800,1800,1000,2
0_2,1898.6651548311715,1067.3403361543903,1307.08,1,100mN1000E1800,1800,1000,2
0_3,1898.6651548311715,1067.3403361543903,1459.27,3,100mN1000E1800,1800,1000,2
0_4,1898.6651548311715,1067.3403361543903,1220.63,2,100mN1000E1800,1800,1000,2
0_5,1898.6651548311715,1067.3403361543903,1191.4,2,100mN1000E1800,1800,1000,2
1_0,610.813038916272,-343.08109938516645,995.47,2,100mN-400E600,600,-400,0
1_1,610.813038916272,-343.08109938516645,872.34,2,100mN-400E600,600,-400,0
1_2,610.813038916272,-343.08109938516645,994.0,3,100mN-400E600,600,-400,0
1_3,610.813038916272,-343.08109938516645,894.27,1,100mN-400E600,600,-400,0
2_0,957.770078952246,330.2558247787083,1326.1,2,100mN300E900,900,300,2
2_1,957.770078952246,330.2558247787083,1087.18,1,100mN300E900,900,300,2
2_2,957.770078952246,330.2558247787083,1198.39,1,100mN300E900,900,300,2
3_0,1472.819103147836,1459.1077690803177,1363.19,2,100mN1400E1400,1400,1400,2
3_1,1472.819103147836,1459.1077690803177,1552.92,3,100mN1400E1400,1400,1400,2
4_0,837.8505767900874,1231.124940527647,1275.51,2,100mN1200E800,800,1200,2
4_1,837.8505767900874,1231.124940527647,1240.96,2,100mN1200E800,800,1200,2
4_2,837.8505767900874,1231.124940527647,1316.46,2,100mN1200E800,800,1200,2
5_0,401.29931750373817,-493.5812955322134,847.76,1,100mN-500E400,400,-500,0
5_1,401.29931750373817,-493.5812955322134,845.72,2,100mN-500E400,400,-500,0
6_0,296.27224635912273,-375.8693082897575,936.61,2,100mN-400E200,200,-400,0
6_1,296.27224635912273,-375.8693082897575,904.48,2,100mN-400E200,200,-400,0
6_2,296.27224635912273,-375.8693082897575,816.87,2,100mN-400E200,200,-400,0
6_3,296.27224635912273,-375.8693082897575,920.46,2,100mN-400E200,200,-400,0
7_0,627.1269667190088,804.2273298203322,1425.46,2,100mN800E600,600,800,2
7_1,627.1269667190088,804.2273298203322,1048.37,1,100mN800E600,600,800,2
8_1,446.3584925799247,-319.8490757073708,844.87,2,100mN-400E400,400,-400,0
9_0,339.21072754013466,-492.0592455359762,881.84,1,100mN-500E300,300,-500,0
10_0,1004.896153433304,579.6510599933742,1607.33,4,100mN500E1000,1000,500,2
11_0,2253.763184473619,1136.5467534256318,770.98,1,100mN1100E2200,2200,1100,3
11_1,2253.763184473619,1136.5467534256318,661.24,1,100mN1100E2200,2200,1100,3
11_2,2253.763184473619,1136.5467534256318,846.67,1,100mN1100E2200,2200,1100,3
11_3,2253.763184473619,1136.5467534256318,825.65,1,100mN1100E2200,2200,1100,3
11_4,2253.763184473619,1136.5467534256318,813.1,1,100mN1100E2200,2200,1100,3
11_5,2253.763184473619,1136.5467534256318,909.21,2,100mN1100E2200,2200,1100,3
12_0,513.4819711473909,-532.1104213097051,960.42,3,100mN-600E500,500,-600,0
12_1,513.4819711473909,-532.1104213097051,919.62,2,100mN-600E500,500,-600,0
12_2,513.4819711473909,-532.1104213097051,973.82,2,100mN-600E500,500,-600,0
12_3,513.4819711473909,-532.1104213097051,848.52,2,100mN-600E500,500,-600,0
13_0,769.0147614280485,901.5556397576612,1176.61,2,100mN900E700,700,900,2
14_0,1722.9655613889197,2141.276347953721,1254.02,3,100mN2100E1700,1700,2100,2
14_1,1722.9655613889197,2141.276347953721,1424.29,3,100mN2100E1700,1700,2100,2
15_0,1821.8485056016093,734.0506419805229,1213.33,1,100mN700E1800,1800,700,2
17_0,1608.9093494246556,2427.5867187414347,2835.1,4,100mN2400E1600,1600,2400,1
18_0,2129.1784477219944,1334.9271734789677,587.35,1,100mN1300E2100,2100,1300,3
19_0,1525.3199771277204,938.5303456825022,1494.64,3,100mN900E1500,1500,900,2
19_1,1525.3199771277204,938.5303456825022,1305.72,2,100mN900E1500,1500,900,2
19_3,1525.3199771277204,938.5303456825022,1543.99,3,100mN900E1500,1500,900,2
20_0,1684.4143180645603,829.8993906925857,1488.12,3,100mN800E1600,1600,800,2
20_1,1684.4143180645603,829.8993906925857,1440.16,3,100mN800E1600,1600,800,2
20_2,1684.4143180645603,829.8993906925857,1195.72,1,100mN800E1600,1600,800,2
20_3,1684.4143180645603,829.8993906925857,1163.28,1,100mN800E1600,1600,800,2
20_4,1684.4143180645603,829.8993906925857,1353.27,2,100mN800E1600,1600,800,2
20_5,1684.4143180645603,829.8993906925857,1118.13,1,100mN800E1600,1600,800,2
21_0,774.131916468099,-175.56071016233466,757.2,1,100mN-200E700,700,-200,0
23_0,1305.623942178139,573.0893363944411,1342.52,1,100mN500E1300,1300,500,2
24_0,1945.213171033561,1743.8568711104424,1303.96,3,100mN1700E1900,1900,1700,2
24_1,1945.213171033561,1743.8568711104424,1385.11,3,100mN1700E1900,1900,1700,2
24_2,1945.213171033561,1743.8568711104424,1581.83,2,100mN1700E1900,1900,1700,2
24_3,1945.213171033561,1743.8568711104424,1482.91,2,100mN1700E1900,1900,1700,2
24_4,1945.213171033561,1743.8568711104424,1149.96,1,100mN1700E1900,1900,1700,2
24_5,1945.213171033561,1743.8568711104424,1236.32,2,100mN1700E1900,1900,1700,2
